name,Blood Type,Give Birth,Can Fly,Live in Water,Class
human,warm,yes,no,no,mamals
python,cold,no,no,no,reptiles
salmon,cold,no,no,yes,fishes
whale,warm,yes,no,yes,mamals
frog,cold,no,no,sometimes,amphibians
komodo,cold,no,no,no,reptiles
bat,warm,yes,yes,no,mamals
pigeon,warm,no,yes,no,birds
cat,warm,yes,no,no,mamals
leopard shark,cold,yes,no,yes,fishes
turtle,cold,yes,no,sometimes,reptiles
penguin,warm,no,no,sometimes,birds
porcupine,warm,yes,no,no,mamals
eel,cold,no,no,yes,fishes
salamander,cold,no,no,sometimes,amphibians
gila monster,cold,no,no,no,reptiles
platypus,warm,no,no,no,mamals
owl,warm,no,yes,no,birds
dolphin,warm,yes,no,yes,mamals
eagle,warm,no,yes,no,birds
